功能端,一级模块,二级模块,功能描述
管理端（电脑端）,用户管理,用户管理,登录管理端系统
管理端（电脑端）,用户管理,用户管理,添加新的后勤管理人员
管理端（电脑端）,用户管理,用户管理,编辑现有管理人员信息
管理端（电脑端）,用户管理,用户管理,删除管理人员账号
管理端（电脑端）,用户管理,用户管理,设置管理人员权限（如超级管理员、普通管理员）
管理端（电脑端）,用户管理,用户管理,重置管理人员密码
管理端（电脑端）,题目管理,题目管理,导入题目（支持Excel、CSV格式）
管理端（电脑端）,题目管理,题目管理,下载题目导入模板
管理端（电脑端）,题目管理,题目管理,批量导入题目
管理端（电脑端）,题目管理,题目管理,导入数据校验和错误提示
管理端（电脑端）,题目管理,题目维护,手动添加新题目（支持单选题、多选题、判断题）
管理端（电脑端）,题目管理,题目维护,编辑现有题目内容
管理端（电脑端）,题目管理,题目维护,删除题目
管理端（电脑端）,题目管理,题目维护,题目分类管理（添加、编辑、删除分类）
管理端（电脑端）,题目管理,题目维护,题目难度设置
管理端（电脑端）,题目管理,题目维护,题目搜索和筛选
管理端（电脑端）,题目管理,AI自动生成考题,根据管理员指令，自动生成考题
管理端（电脑端）,考试管理,考试模板管理,创建考试模板（如安全知识、操作规范等）
管理端（电脑端）,考试管理,考试模板管理,编辑和删除考试模板
管理端（电脑端）,考试管理,考试模板管理,为模板设置题目分类和难度
管理端（电脑端）,考试管理,考试模板管理,查看模板下的考试列表
管理端（电脑端）,考试管理,考试模板管理,模板权限设置
管理端（电脑端）,考试管理,考试管理,创建新考试/练习
管理端（电脑端）,考试管理,考试管理,设置考试名称、开始时间、结束时间
管理端（电脑端）,考试管理,考试管理,设置考试题目数量和分值
管理端（电脑端）,考试管理,考试管理,设置及格分数
管理端（电脑端）,考试管理,考试管理,从题库中选择题目组成试卷
管理端（电脑端）,考试管理,考试管理,编辑和删除考试
管理端（电脑端）,考试管理,考试管理,查看考试详情
管理端（电脑端）,统计分析,统计分析,查看员工答题情况概览
管理端（电脑端）,统计分析,统计分析,查看平均分、通过率统计
管理端（电脑端）,统计分析,统计分析,查看错题分布情况
管理端（电脑端）,统计分析,统计分析,查看部门答题情况对比
管理端（电脑端）,统计分析,统计分析,查看个人答题详情
管理端（电脑端）,统计分析,统计分析,数据可视化展示（图表）
管理端（电脑端）,数据导出,数据导出,导出统计数据为Excel格式
管理端（电脑端）,数据导出,数据导出,导出员工答题记录
管理端（电脑端）,数据导出,数据导出,导出题目库
小程序端（员工端）,用户登录,用户登录,通过工号/账号登录
小程序端（员工端）,用户登录,用户登录,密码找回功能
小程序端（员工端）,用户登录,用户登录,记住登录状态
小程序端（员工端）,考试管理,考试列表,查看可参与的考试/练习列表
小程序端（员工端）,考试管理,考试列表,查看考试详情（名称、时间、分值等）
小程序端（员工端）,考试管理,考试列表,筛选和搜索考试
小程序端（员工端）,考试管理,在线答题,进入考试并开始答题
小程序端（员工端）,考试管理,在线答题,显示题目和选项
小程序端（员工端）,考试管理,在线答题,记录用户答案
小程序端（员工端）,考试管理,在线答题,支持题目导航（上一题、下一题）
小程序端（员工端）,考试管理,在线答题,支持标记题目
小程序端（员工端）,考试管理,在线答题,考试时间倒计时
小程序端（员工端）,考试管理,在线答题,提交答案
小程序端（员工端）,考试管理,答题结果,显示本次考试得分
小程序端（员工端）,考试管理,答题结果,显示是否及格
小程序端（员工端）,考试管理,答题结果,查看正确/错误题目
小程序端（员工端）,考试管理,答题结果,查看题目解析
小程序端（员工端）,考试管理,答题结果,重新答题功能
小程序端（员工端）,考试管理,历史记录,查看历史答题记录
小程序端（员工端）,考试管理,历史记录,查看历史考试成绩
小程序端（员工端）,考试管理,历史记录,查看历史错题
小程序端（员工端）,考试管理,历史记录,按时间筛选历史记录